cell_ordinal,layer,target_arch,bit_indices,rob_entries,n_total,n_valid,SDC,Crash,Hang,Inactive,Masked,SimulatorError,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,P_escape,Reachability,RT_Benign,RT_Masked,RT_SDC,RT_Crash,P_SDC_given_reads_gt0,reads_median,first_run_id,first_run_class
0,arch_frontend,3,[0],96,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c000-r0,SDC
1,arch_frontend,3,[0],128,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c001-r0,SDC
2,arch_frontend,3,[0],160,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c002-r0,SDC
3,arch_frontend,3,[63],96,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c003-r0,SDC
4,arch_frontend,3,[63],128,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c004-r0,SDC
5,arch_frontend,3,[63],160,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c005-r0,SDC
6,arch_frontend,2,[0],96,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c006-r0,SDC
7,arch_frontend,2,[0],128,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c007-r0,SDC
8,arch_frontend,2,[0],160,96,96,96,0,0,0,0,0,1.0000,0.9615,1.0000,0.0000,0.0000,0.0312,1.0000,1.0000,0,0,96,0,1.0000,1975000,h2_window_sweep-c008-r0,SDC
9,arch_frontend,2,[63],96,96,96,0,0,96,0,0,0,0.0000,0.0000,0.0312,1.0000,0.9615,1.0000,0.0000,1.0000,0,0,0,0,,7425000,h2_window_sweep-c009-r0,Hang
10,arch_frontend,2,[63],128,96,96,0,0,96,0,0,0,0.0000,0.0000,0.0312,1.0000,0.9615,1.0000,0.0000,1.0000,0,0,0,0,,7450000,h2_window_sweep-c010-r0,Hang
11,arch_frontend,2,[63],160,96,96,0,0,96,0,0,0,0.0000,0.0000,0.0312,1.0000,0.9615,1.0000,0.0000,1.0000,0,0,0,0,,7450000,h2_window_sweep-c011-r0,Hang
