rep,seed,fails,class
0,20260825,1,SDC
1,20260826,1,SDC
2,20260827,1,SDC
3,20260828,1,SDC
4,20260829,1,SDC
5,20260830,1,SDC
6,20260831,1,SDC
7,20260832,1,SDC
8,20260833,1,SDC
9,20260834,1,SDC
10,20260835,1,SDC
11,20260836,1,SDC
12,20260837,1,SDC
13,20260838,1,SDC
14,20260839,1,SDC
15,20260840,1,SDC
16,20260841,1,SDC
17,20260842,1,SDC
18,20260843,1,SDC
19,20260844,1,SDC
20,20260845,1,SDC
21,20260846,1,SDC
22,20260847,1,SDC
23,20260848,1,SDC
24,20260849,1,SDC
25,20260850,1,SDC
26,20260851,1,SDC
27,20260852,1,SDC
28,20260853,1,SDC
29,20260854,1,SDC
30,20260855,1,SDC
31,20260856,1,SDC
32,20260857,1,SDC
33,20260858,1,SDC
34,20260859,1,SDC
35,20260860,1,SDC
36,20260861,1,SDC
37,20260862,1,SDC
38,20260863,1,SDC
39,20260864,1,SDC
40,20260865,1,SDC
41,20260866,1,SDC
42,20260867,1,SDC
43,20260868,1,SDC
44,20260869,1,SDC
45,20260870,1,SDC
46,20260871,1,SDC
47,20260872,1,SDC
48,20260873,1,SDC
49,20260874,1,SDC
50,20260875,1,SDC
51,20260876,1,SDC
52,20260877,1,SDC
53,20260878,1,SDC
54,20260879,1,SDC
55,20260880,1,SDC
56,20260881,1,SDC
57,20260882,1,SDC
58,20260883,1,SDC
59,20260884,1,SDC
60,20260885,1,SDC
61,20260886,1,SDC
62,20260887,1,SDC
63,20260888,1,SDC
