campaign,unit,fault_model,mode,config_family,workload,n_reps,n_valid,n_inactive,n_simerror,n_sdc,n_crash,n_hang,n_masked,n_inject0,P_SDC,P_DUE,wilson_lo,wilson_hi,denominator,source_run
addrmap_formal_fwd,memory,stuck_at_one,SE,C2,fwd,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/addrmap_formal_fwd
bpu_branchy_pilot,bpu,transient_bit_flip,SE,C0,branchy,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/bpu_branchy_pilot
bpu_formal,bpu,transient_bit_flip,SE,C2,formal,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/bpu_formal
bpu_formal_regchain,bpu,transient_bit_flip,SE,C2,regchain,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/bpu_formal_regchain
decode_formal,decode,transient_bit_flip,SE,C2,formal,384,382,0,2,1,90,2,289,2,0.0026,0.2408,0.0005,0.0147,n_valid(ooo),/home/sdc/gem5-fi/runs/decode_formal
decode_regchain_pilot,decode,transient_bit_flip,SE,C0,regchain,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/decode_regchain_pilot
exec_formal_cholesky,exec,transient_bit_flip,SE,C2,cholesky,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/exec_formal_cholesky
exec_formal_regchain,exec,transient_bit_flip,SE,C2,regchain,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/exec_formal_regchain
exec_regchain_pilot,exec,transient_bit_flip,SE,C0,regchain,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/exec_regchain_pilot
exmon_formal_spinlock,exmon,transient_bit_flip,SE,C2,spinlock,384,384,0,0,0,384,0,0,0,0.0000,1.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/exmon_formal_spinlock
exmon_spinlock_pilot,exmon,transient_bit_flip,SE,C0,spinlock,5,5,0,0,0,5,0,0,0,0.0000,1.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/exmon_spinlock_pilot
fpu_formal_gemm,fsu,transient_bit_flip,SE,C2,gemm,384,384,0,0,0,0,0,384,0,0.0000,0.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/fpu_formal_gemm
fpu_formal_neon,fsu,transient_bit_flip,SE,C2,neon,384,67,317,0,0,0,0,67,317,0.0000,0.0000,0.0000,0.0542,n_valid(ooo),/home/sdc/gem5-fi/runs/fpu_formal_neon
fpu_neon_pilot,fsu,transient_bit_flip,SE,C0,neon,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/fpu_neon_pilot
freelist_formal_cholesky,freelist,transient_bit_flip,SE,C2,cholesky,768,748,0,20,0,536,21,191,21,0.0000,0.7447,0.0000,0.0051,n_valid(ooo),/home/sdc/gem5-fi/runs/freelist_formal_cholesky
fwdphase_curve_1,physreg,delay_omission,SE,C2,1,96,96,0,0,0,96,0,0,0,0.0000,1.0000,0.0000,0.0385,n_valid(ooo),/home/sdc/gem5-fi/runs/fwdphase_curve_1
fwdphase_curve_2,physreg,delay_omission,SE,C2,2,96,96,0,0,0,96,0,0,0,0.0000,1.0000,0.0000,0.0385,n_valid(ooo),/home/sdc/gem5-fi/runs/fwdphase_curve_2
fwdphase_curve_4,physreg,delay_omission,SE,C2,4,96,96,0,0,0,96,0,0,0,0.0000,1.0000,0.0000,0.0385,n_valid(ooo),/home/sdc/gem5-fi/runs/fwdphase_curve_4
fwdphase_curve_8,physreg,delay_omission,SE,C2,8,96,96,0,0,0,96,0,0,0,0.0000,1.0000,0.0000,0.0385,n_valid(ooo),/home/sdc/gem5-fi/runs/fwdphase_curve_8
fwdsrc_formal_fwd,physreg,stuck_at_zero,SE,C2,fwd,384,378,0,6,142,217,0,19,0,0.3757,0.5741,0.3283,0.4255,n_valid(ooo),/home/sdc/gem5-fi/runs/fwdsrc_formal_fwd
iq_cholesky_pilot,rat,transient_bit_flip,SE,C0,cholesky,5,5,0,0,0,0,0,5,0,0.0000,0.0000,0.0000,0.4345,n_valid(ooo),/home/sdc/gem5-fi/runs/iq_cholesky_pilot
iq_f5_formal_madd,iq,legal_domain_sub,SE,C2,f5,384,384,0,0,0,384,0,0,384,0.0000,1.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/iq_f5_formal_madd
iq_f5f6_pilot,iq,legal_domain_sub,SE,C2,f5f6,10,10,0,0,0,10,0,0,10,0.0000,1.0000,0.0000,0.2775,n_valid(ooo),/home/sdc/gem5-fi/runs/iq_f5f6_pilot
iq_f6_phase_curve,iq,intermittent_burst,SE,C2,curve,384,384,0,0,0,384,0,0,384,0.0000,1.0000,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/iq_f6_phase_curve
iq_f6_phase_curve_cholesky,iq,intermittent_burst,SE,C2,cholesky,384,384,0,0,0,21,0,363,0,0.0000,0.0547,0.0000,0.0099,n_valid(ooo),/home/sdc/gem5-fi/runs/iq_f6_phase_curve_cholesky
