phys_mode,target_index,bit,fault_model,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
arch_frontend,0,0,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,0,2,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,0,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,1.0000,0.9287,1.0000,0
arch_frontend,1,0,transient_bit_flip,none,50,0,0,50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
arch_frontend,1,2,transient_bit_flip,none,50,0,0,50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
arch_frontend,1,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,1.0000,0.9287,1.0000,0
arch_frontend,2,0,transient_bit_flip,none,50,50,0,0,1.0000,0.9287,1.0000,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,2,2,transient_bit_flip,none,50,50,0,0,1.0000,0.9287,1.0000,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,2,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,1.0000,0.9287,1.0000,0
arch_frontend,4,0,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,4,2,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,4,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,5,0,transient_bit_flip,none,50,50,0,0,1.0000,0.9287,1.0000,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,5,2,transient_bit_flip,none,50,50,0,0,1.0000,0.9287,1.0000,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,5,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,1.0000,0.9287,1.0000,0
arch_frontend,6,0,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,6,2,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,6,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,7,0,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,7,2,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,7,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,19,0,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,19,2,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,19,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,29,0,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,29,2,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,29,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,30,0,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,30,2,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
arch_frontend,30,31,transient_bit_flip,none,50,50,0,0,0.0000,0.0000,0.0713,0.0000,0.0000,0.0713,1.0000,0.9287,1.0000,0
