phys_mode,target_index,bit,fault_model,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
arch_frontend,3,0,transient_bit_flip,none,100,100,0,0,1.0000,0.9630,1.0000,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
arch_frontend,3,11,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,0
arch_frontend,3,31,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,0
arch_frontend,3,32,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,0
arch_frontend,3,47,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,0
arch_frontend,3,63,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,1.0000,0.9630,1.0000,0
arch_frontend,9,0,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
arch_frontend,9,11,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
arch_frontend,9,31,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
arch_frontend,9,32,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
arch_frontend,9,47,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
arch_frontend,9,63,transient_bit_flip,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
