fault_model,l1i_field,protection_model,n_total,n_valid,n_inactive,n_simerror,P_SDC,P_SDC_lo,P_SDC_hi,P_DUE,P_DUE_lo,P_DUE_hi,Reach,Reach_lo,Reach_hi,frozen
transient_bit_flip,opcode,none,100,100,0,0,0.0000,0.0000,0.0370,0.0200,0.0055,0.0700,1.0000,0.9630,1.0000,0
transient_bit_flip,opcode,sed,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
transient_bit_flip,rn,none,100,99,0,1,0.0101,0.0018,0.0550,0.0000,0.0000,0.0374,1.0000,0.9626,1.0000,0
transient_bit_flip,rn,sed,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
transient_bit_flip,rm,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
transient_bit_flip,rm,sed,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
transient_bit_flip,rd,none,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
transient_bit_flip,rd,sed,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
transient_bit_flip,imm12,none,100,100,0,0,0.0100,0.0018,0.0545,0.0100,0.0018,0.0545,1.0000,0.9630,1.0000,0
transient_bit_flip,imm12,sed,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
transient_bit_flip,cond,none,100,98,0,2,0.0000,0.0000,0.0377,0.0000,0.0000,0.0377,1.0000,0.9623,1.0000,0
transient_bit_flip,cond,sed,100,100,0,0,0.0000,0.0000,0.0370,0.0000,0.0000,0.0370,1.0000,0.9630,1.0000,0
